ID;Syn;AnswerFungl;AnswerProlog;Question;RQuestion;Types;Fixed
457;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (PP (IN in) (NP (DT the) (NNP US))))));answer(longest(river(loc_2(countryid('usa')))));"answer(A,longest(A,(river(A),loc(A,B),const(B,countryid(usa)))))";What is the longest river in the US;Which river has the biggest length in the US;amount;2
458;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VBZ does) (RB not) (VP (VB run) (PP (IN through) (NP (NNP Texas)))))))));"answer(longest(exclude(river(all), traverse_2(stateid('texas')))))";"answer(A,longest(A,(river(A),not((traverse(A,B),const(B,stateid(texas)))))))";What is the longest river that does not run through Texas;Which river has the biggest length and not in Texas;amount;0
459;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ flows) (PP (IN through) (NP (NP (DT a) (NN state)) (SBAR (WHNP (WDT that)) (S (VP (VBZ borders) (NP (NNP Indiana)))))))))))));answer(longest(river(traverse_2(state(next_to_2(stateid('indiana')))))));"answer(A,longest(A,(river(A),traverse(A,B),state(B),next_to(B,C),const(C,stateid(indiana)))))";What is the longest river that flows through a state that borders Indiana;Which river has the biggest length in a state that intersects with indiana;amount;0
460;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ flows) (PP (IN through) (NP (NNP Colorado)))))))));answer(longest(river(traverse_2(stateid('colorado')))));"answer(A,longest(A,(river(A),traverse(A,B),const(B,stateid(colorado)))))";What is the longest river that flows through Colorado;Which river has the biggest length in Colorado;amount;0
461;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ passes) (NP (NP (DT the) (NNS states)) (SBAR (WHNP (WDT that)) (S (VP (VBP border) (NP (NP (DT the) (NN state)) (SBAR (WHNP (WDT that)) (S (VP (VBZ borders) (NP (DT the) (JJS most) (NNS states))))))))))))))));answer(longest(river(traverse_2(state(next_to_2(most(state(next_to_2(state(all))))))))));"answer(A,longest(A,(river(A),traverse(A,B),state(B),next_to(B,C),most(C,D,(state(C),next_to(C,D),state(D))))))";What is the longest river that passes the states that border the state that borders the most states;Which river has the biggest length that passes the states that border the state that borders the most states;amount;0
462;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (SBAR (WHNP (WDT that)) (S (VP (VBZ runs) (PP (IN through) (NP (NP (DT a) (NN state)) (SBAR (WHNP (WDT that)) (S (VP (VBZ borders) (NP (NNP Tennessee)))))))))))));answer(longest(river(traverse_2(state(next_to_2(stateid('tennessee')))))));"answer(A,longest(A,(river(A),traverse(A,B),state(B),next_to(B,C),const(C,stateid(tennessee)))))";What is the longest river that runs through a state that borders Tennessee;Which river has the biggest length in a state that intersects with tennessee;object;0
463;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN elevation)) (PP (IN in) (NP (NNP Pennsylvania))))));answer(lowest(place(loc_2(stateid('pennsylvania')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(pennsylvania)))))";What is the lowest elevation in Pennsylvania;What is the lowest elevation of pennsylvania;object;1
464;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Arkansas))))));answer(lowest(place(loc_2(stateid('arkansas')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(arkansas)))))";What is the lowest point in Arkansas;Which area has the lowest elevation in Arkansas;object;1
465;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP California))))));answer(lowest(place(loc_2(stateid('california')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(california)))))";What is the lowest point in California;Which area has the lowest elevation in California;object;1
466;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Louisiana))))));answer(lowest(place(loc_2(stateid('louisiana')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(louisiana)))))";What is the lowest point in Louisiana;Which area has the lowest elevation in Louisiana;object;1
467;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Massachusetts))))));answer(lowest(place(loc_2(stateid('massachusetts')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(massachusetts)))))";What is the lowest point in Massachusetts;Which area has the lowest elevation in Massachusetts;object;1
468;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Mississippi))))));answer(lowest(place(loc_2(stateid('mississippi')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(mississippi)))))";What is the lowest point in Mississippi;Which area has the lowest elevation in Mississippi;object;1
469;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Nebraska)))) (PP (IN in) (NP (NNS meters))))));answer(lowest(place(loc_2(stateid('nebraska')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(nebraska)))))";What is the lowest point in Nebraska in meters;Which area has the lowest elevation in Nebraska;object;1
470;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Oregon))))));answer(lowest(place(loc_2(stateid('oregon')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(oregon)))))";What is the lowest point in Oregon;Which area has the lowest elevation in Oregon;object;1
471;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Texas))))));answer(lowest(place(loc_2(stateid('texas')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(texas)))))";What is the lowest point in Texas;Which area has the lowest elevation in Texas;object;1
472;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NNP California))))))));answer(lowest(place(loc_2(state(stateid('california'))))));"answer(A,lowest(A,(place(A),loc(A,B),state(B),const(B,stateid(california)))))";What is the lowest point in the state of California;Which area has the lowest elevation in California;object;1
473;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN of) (NP (NNP Texas))))))));answer(lowest(place(loc_2(state(stateid('texas'))))));"answer(A,lowest(A,(place(A),loc(A,B),state(B),const(B,stateid(texas)))))";What is the lowest point in the state of Texas;Which area has the lowest elevation in Texas;object;1
474;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (DT the) (NNP United) (NNPS States))))));answer(lowest(place(loc_2(countryid('usa')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,countryid(usa)))))";What is the lowest point in the United States;Which area has the lowest elevation in the United States;object;1
475;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP USA))))));answer(lowest(place(loc_2(countryid('usa')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,countryid(usa)))))";What is the lowest point in USA;Which area has the lowest elevation in USA;object;1
476;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN in) (NP (NNP Wisconsin))))));answer(lowest(place(loc_2(stateid('wisconsin')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(wisconsin)))))";What is the lowest point in Wisconsin;Which area has the lowest elevation in Wisconsin;object;1
477;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN of) (NP (NP (DT all) (NNS states)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Colorado) (NN river)) (VP (VBZ runs) (PP (IN through))))))))));answer(lowest(place(loc_2(state(traverse_1(river(riverid('colorado'))))))));"answer(A,lowest(A,(place(A),loc(A,B),state(B),const(C,riverid(colorado)),river(C),traverse(C,B))))";What is the lowest point of all states through which the Colorado river runs through;Which area has the lowest elevation in states intersect with the colorado river;object;0
478;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN of) (NP (NNP Colorado))))));answer(lowest(place(loc_2(stateid('colorado')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,stateid(colorado)))))";What is the lowest point of Colorado;Which area has the lowest elevation in Colorado;object;1
479;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN of) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS largest) (NN area))))))));answer(lowest(place(loc_2(largest_one(area_1(state(all)))))));"answer(A,lowest(A,(place(A),loc(A,B),largest(C,(state(B),area(B,C))))))";What is the lowest point of the state with the largest area;Which area has the lowest elevation in the state with the largest size;object;0
480;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJS lowest) (NN point)) (PP (IN of) (NP (DT the) (NNP US))))));answer(lowest(place(loc_2(countryid('usa')))));"answer(A,lowest(A,(place(A),loc(A,B),const(B,countryid(usa)))))";What is the lowest point of the US;Which area has the lowest elevation in the US;object;1
481;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (JJ major) (NNS cities)) (PP (IN in) (NP (NNP Montana))))));answer(major(city(loc_2(stateid('montana')))));"answer(A,(major(A),city(A),loc(A,B),const(B,stateid(montana))))";What is the major cities in Montana;What are the major cities in montana;object;2
482;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN maximum) (NN elevation)) (PP (IN of) (NP (NNP San) (NNP Francisco))))));"answer(highest(place(loc_2(cityid('san francisco', _)))))";"answer(A,highest(A,(place(A),loc(A,B),const(B,cityid('san francisco',_)))))";What is the maximum elevation of San Francisco;What is the biggest elevation of san francisco;amount;1
483;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ dense)) (NN state)) (PP (IN in) (NP (DT the) (NNP USA))))));answer(largest_one(density_1(state(loc_2(countryid('usa'))))));"answer(A,largest(B,(density(A,B),state(A),loc(A,C),const(C,countryid(usa)))))";What is the most dense state in the USA;Which state has the biggest population density;location;2
484;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populated)) (NN capital)) (PP (IN in) (NP (DT the) (NNP USA))))));answer(largest_one(population_1(capital(loc_2(countryid('usa'))))));"answer(A,largest(B,(population(A,B),capital(A),loc(A,C),const(C,countryid(usa)))))";What is the most populated capital in the USA;Which capital has the biggest population in the USA;location;2
485;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populated)) (NN state)) (VP (VBG bordering) (NP (NNP Oklahoma))))));answer(largest_one(population_1(state(next_to_2(stateid('oklahoma'))))));"answer(A,largest(B,(population(A,B),state(A),next_to(A,C),const(C,stateid(oklahoma)))))";What is the most populated state bordering Oklahoma;Which state has the biggest population and intersects with oklahoma;location;0
486;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN city))));answer(largest_one(population_1(city(all))));"answer(A,largest(B,(population(A,B),city(A))))";What is the most populous city;Which city has the biggest population;location;2
487;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN city)) (PP (IN in) (NP (NNP Texas))))));answer(largest_one(population_1(city(loc_2(stateid('texas'))))));"answer(B,largest(A,(population(B,A),city(B),loc(B,C),const(C,stateid(texas)))))";What is the most populous city in Texas;Which city has the biggest population in Texas;location;2
488;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN city)) (PP (IN in) (NP (NNP Wyoming))))));answer(largest_one(population_1(city(loc_2(stateid('wyoming'))))));"answer(A,largest(B,(population(A,B),city(A),loc(A,C),const(C,stateid(wyoming)))))";What is the most populous city in Wyoming;Which city has the biggest population in Wyoming;location;2
489;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN state))));answer(largest_one(population_1(state(all))));"answer(A,largest(B,(population(A,B),state(A))))";What is the most populous state;Which state has the biggest population;location;2
490;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN state)) (PP (IN in) (NP (DT the) (NNP US))))));answer(largest_one(population_1(state(loc_2(countryid('usa'))))));"answer(A,largest(B,(population(A,B),state(A),loc(A,C),const(C,countryid(usa)))))";What is the most populous state in the US;Which state has the biggest population in the US;location;2
491;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (ADJP (RBS most) (JJ populous)) (NN state)) (SBAR (WHPP (IN through) (WHNP (WDT which))) (S (NP (DT the) (NNP Mississippi)) (VP (VBZ runs)))))));answer(largest_one(population_1(state(traverse_1(riverid('mississippi'))))));"answer(A,largest(B,(population(A,B),state(A),const(C,riverid(mississippi)),traverse(C,A))))";What is the most populous state through which the Mississippi runs;Which state has the biggest population and intersects with mississippi river;location;0
492;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN name)) (PP (IN of) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS lowest) (NN point))))))));answer(state(loc_1(lowest(place(all)))));"answer(A,(state(A),loc(B,A),lowest(B,place(B))))";What is the name of the state with the lowest point;Which state has the lowest elevation;location;1
493;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN number)) (PP (IN of) (NP (NP (VBG neighboring) (NNS states)) (PP (IN for) (NP (NNP Kentucky))))))));answer(count(state(next_to_2(stateid('kentucky')))));"answer(A,count(B,(state(B),next_to(B,C),const(C,stateid(kentucky))),A))";What is the number of neighboring states for Kentucky;What is the number of states that intersect with kentucky;location;0
494;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN in) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (NP (NN capital)) (NP (NNP Austin)))))))));"answer(density_1(state(loc_1(capital(cityid('austin', _))))))";"answer(A,(density(B,A),state(B),loc(C,B),capital(C),const(C,cityid(austin,_))))";What is the population density in the state with capital Austin;What is the population density in the state with capital austin;amount;0
495;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NNP Maine))))));answer(density_1(stateid('maine')));"answer(A,(density(B,A),const(B,stateid(maine))))";What is the population density of Maine;What is the population density in maine;amount;1
496;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NNP South) (NNP Dakota))))));answer(density_1(stateid('south dakota')));"answer(A,(density(B,A),const(B,stateid('south dakota'))))";What is the population density of South Dakota;What is the population density in south dakota;amount;1
497;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NNP Texas))))));answer(density_1(stateid('texas')));"answer(A,(density(B,A),const(B,stateid(texas))))";What is the population density of Texas;What is the population density in texas;amount;1
498;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (DT the) (JJS largest) (NN state))))));answer(density_1(largest(state(all))));"answer(A,(density(B,A),largest(B,state(B))))";What is the population density of the largest state;What is the population density in the largest state;amount;0
499;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (DT the) (JJS smallest) (NN state))))));answer(density_1(smallest(state(all))));"answer(A,(density(B,A),smallest(B,state(B))))";What is the population density of the smallest state;What is the population density in the smallest state;amount;0
500;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS smallest) (NN area))))))));answer(density_1(smallest_one(area_1(state(all)))));"answer(A,(density(B,A),smallest(C,(state(B),area(B,C)))))";What is the population density of the state with the smallest area;What is the population density in the state with the smallest size;amount;0
501;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NP (DT the) (NN state)) (PP (IN with) (NP (DT the) (JJS smallest) (NN population))))))));answer(density_1(smallest_one(population_1(state(all)))));"answer(A,(density(B,A),smallest(C,(state(B),population(B,C)))))";What is the population density of the state with the smallest population;What is the population density in the state with the smallest population;amount;0
502;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population) (NN density)) (PP (IN of) (NP (NNP Wyoming))))));answer(density_1(stateid('wyoming')));"answer(A,(density(B,A),const(B,stateid(wyoming))))";What is the population density of Wyoming;What is the population density in wyoming;amount;1
503;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN in) (NP (NNP Boston))))));"answer(population_1(cityid('boston', _)))";"answer(A,(population(B,A),const(B,cityid(boston,_))))";What is the population in Boston;What is the number of people in Boston;amount;2
504;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Alaska))))));answer(population_1(stateid('alaska')));"answer(A,(population(B,A),const(B,stateid(alaska))))";What is the population of Alaska;What is the number of people in Alaska;amount;2
505;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Arizona))))));answer(population_1(stateid('arizona')));"answer(A,(population(B,A),const(B,stateid(arizona))))";What is the population of Arizona;What is the number of people in Arizona;amount;2
506;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Atlanta))))));"answer(population_1(cityid('atlanta', _)))";"answer(A,(population(B,A),const(B,cityid(atlanta,_))))";What is the population of Atlanta;What is the number of people in Atlanta;amount;2
507;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Atlanta) (NNP GA))))));"answer(population_1(cityid('atlanta', 'ga')))";"answer(A,(population(B,A),const(B,cityid(atlanta,_))))";What is the population of Atlanta GA;What is the number of people in Atlanta GA;amount;2
508;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Austin))))));"answer(population_1(cityid('austin', _)))";"answer(A,(population(B,A),const(B,cityid(austin,_))))";What is the population of Austin;What is the number of people in Austin;amount;2
509;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Austin)) (NP (NNP Texas)))))));"answer(population_1(cityid('austin', 'tx')))";"answer(A,(population(B,A),const(B,cityid(austin,tx))))";What is the population of Austin Texas;What is the number of people in Austin Texas;amount;2
510;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Boston)) (NP (NNP Massachusetts)))))));"answer(population_1(cityid('boston', 'ma')))";"answer(A,(population(B,A),const(B,cityid(boston,ma))))";What is the population of Boston Massachusetts;What is the number of people in Boston Massachusetts;amount;2
511;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Boulder))))));"answer(population_1(cityid('boulder', _)))";"answer(A,(population(B,A),const(B,cityid(boulder,_))))";What is the population of Boulder;What is the number of people in Boulder;amount;2
512;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP California))))));answer(population_1(stateid('california')));"answer(A,(population(B,A),const(B,stateid(california))))";What is the population of California;What is the number of people in California;amount;2
513;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Dallas))))));"answer(population_1(cityid('dallas', _)))";"answer(A,(population(B,A),const(B,cityid(dallas,_))))";What is the population of Dallas;What is the number of people in Dallas;amount;2
514;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Denver))))));"answer(population_1(cityid('denver', _)))";"answer(A,(population(B,A),const(B,cityid(denver,_))))";What is the population of Denver;What is the number of people in Denver;amount;2
515;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Erie)) (NP (NNP Pennsylvania)))))));"answer(population_1(cityid('erie', 'pa')))";"answer(A,(population(B,A),const(B,cityid(erie,pa))))";What is the population of Erie Pennsylvania;What is the number of people in Erie Pennsylvania;amount;2
516;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Hawaii))))));answer(population_1(stateid('hawaii')));"answer(A,(population(B,A),const(B,stateid(hawaii))))";What is the population of Hawaii;What is the number of people in Hawaii;amount;2
517;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Houston))))));"answer(population_1(cityid('houston', _)))";"answer(A,(population(B,A),const(B,cityid(houston,_))))";What is the population of Houston;What is the number of people in Houston;amount;2
518;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Idaho))))));answer(population_1(stateid('idaho')));"answer(A,(population(B,A),const(B,stateid(idaho))))";What is the population of Idaho;What is the number of people in Idaho;amount;2
519;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Illinois))))));answer(population_1(stateid('illinois')));"answer(A,(population(B,A),const(B,stateid(illinois))))";What is the population of Illinois;What is the number of people in Illinois;amount;2
520;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Maine))))));answer(population_1(stateid('maine')));"answer(A,(population(B,A),const(B,stateid(maine))))";What is the population of Maine;What is the number of people in Maine;amount;2
521;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Maryland))))));answer(population_1(stateid('maryland')));"answer(A,(population(B,A),const(B,stateid(maryland))))";What is the population of Maryland;What is the number of people in Maryland;amount;2
522;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Minnesota))))));answer(population_1(stateid('minnesota')));"answer(A,(population(B,A),const(B,stateid(minnesota))))";What is the population of Minnesota;What is the number of people in Minnesota;amount;2
523;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Montana))))));answer(population_1(stateid('montana')));"answer(A,(population(B,A),const(B,stateid(montana))))";What is the population of Montana;What is the number of people in Montana;amount;2
524;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP New) (NNP Mexico))))));answer(population_1(stateid('new mexico')));"answer(A,(population(B,A),const(B,stateid('new mexico'))))";What is the population of New Mexico;What is the number of people in New Mexico;amount;2
525;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP New) (NNP York))))));answer(population_1(stateid('new york')));"answer(A,(population(B,A),const(B,stateid('new york'))))";What is the population of New York;What is the number of people in New York;amount;2
526;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP New) (NNP York) (NNP City))))));"answer(population_1(city(cityid('new york', _))))";"answer(A,(population(B,A),const(B,cityid('new york',_))))";What is the population of New York City;What is the number of people in New York City;amount;2
527;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Oregon))))));answer(population_1(stateid('oregon')));"answer(A,(population(B,A),const(B,stateid(oregon))))";What is the population of Oregon;What is the number of people in Oregon;amount;2
528;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Portland)) (NP (NNP Maine)))))));"answer(population_1(cityid('portland', 'me')))";"answer(A,(population(B,A),const(B,cityid(portland,me))))";What is the population of Portland Maine;What is the number of people in Portland Maine;amount;2
529;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Rhode) (NNP Island))))));answer(population_1(stateid('rhode island')));"answer(A,(population(B,A),const(B,stateid('rhode island'))))";What is the population of Rhode Island;What is the number of people in Rhode Island;amount;2
530;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Sacramento))))));"answer(population_1(cityid('sacramento', _)))";"answer(A,(population(B,A),const(B,cityid(sacramento,_))))";What is the population of Sacramento;What is the number of people in Sacramento;amount;2
531;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP San) (NNP Antonio))))));"answer(population_1(cityid('san antonio', _)))";"answer(A,(population(B,A),const(B,cityid('san antonio',_))))";What is the population of San Antonio;What is the number of people in San Antonio;amount;2
532;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP Seattle))))));"answer(population_1(cityid('seattle', _)))";"answer(A,(population(B,A),const(B,cityid(seattle,_))))";What is the population of Seattle;What is the number of people in Seattle;amount;2
533;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Seattle)) (NP (NNP Washington)))))));"answer(population_1(cityid('seattle', 'wa')))";"answer(A,(population(B,A),const(B,cityid(seattle,wa))))";What is the population of Seattle Washington;What is the number of people in Seattle Washington;amount;2
534;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNP South) (NNP Dakota))))));answer(population_1(stateid('south dakota')));"answer(A,(population(B,A),const(B,stateid('south dakota'))))";What is the population of South Dakota;What is the number of people in South Dakota;amount;2
535;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Springfield)) (NP (NNP Missouri)))))));"answer(population_1(cityid('springfield', 'mo')))";"answer(A,(population(B,A),const(B,cityid(springfield,mo))))";What is the population of Springfield Missouri;What is the number of people in Springfield Missouri;amount;2
536;(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NP (NNP Springfield)) (NP (NNP South) (NNP Dakota)))))));"answer(population_1(cityid('springfield', 'sd')))";"answer(A,(population(B,A),const(B,cityid(springfield,sd))))";What is the population of Springfield South Dakota;What is the number of people in Springfield South Dakota;amount;2
